filename,title,category,type,language,difficulty,notes,image,url
TwistVeil_Blouse.pdf,TwistVeil Blouse,棒针,毛衫,,,作者：Natalja Ledvanova | 合身版、圈织、长袖、宽松版、无缝、从上往下、V领、片织 | 针码：3.0/4.0mm | 密度：21针×31行 | 建议线材：Knitting for Olive | 尺码：XS-XXL（86-123cm胸围） | 用量：820-1312码 | 评分：5.0/5.0 (来自10票) | 售价：€8.00 EUR,TwistVeil_Blouse.jpg,https://www.ravelry.com/patterns/library/twistveil-blouse
Verdicchio_Cardigan_Pattern_2025.pdf,Verdicchio Cardigan,棒针,开衫,英,,作者：Studio VivAlbicocca | 蕾丝、宽松版、无缝、从上往下、V领、片织 | 针码：3.5/4.5mm | 密度：20针×5行 | 建议线材：Sandnes Garn Tynn | 用量：1908-3297码 | 售价：€7.20 EUR,Verdicchio_Cardigan.jpg,https://www.ravelry.com/patterns/library/verdicchio-cardigan
-.pdf,Medusa 2022,棒针,围巾,,,作者：Julie Knits in Paris | 针码：4.0mm | 密度：14针×20行 | 建议线材：Townhouse Yarns Poolbeg | 用量：1258-1280码 | 评分：4.9/5.0 (来自8票) | 售价：€7.00 EUR,Medusa_2022.jpeg,https://www.ravelry.com/patterns/library/medusa-2022
